output,feature,S1,S1_conf,ST,ST_conf
ET,P1,-0.0032062869164692837,0.00515841971454749,0.005800650948625028,0.0008041099456321813
ET,T1,0.014544509246311486,0.021442925889549058,0.0864041960934991,0.01079490775647541
ET,T2,0.0010654578946787004,0.004263227341229918,0.004614485526039941,0.0010986342899542872
ET,RRC1,-0.0019584381207263493,0.009131232880338565,0.026518128874334992,0.0032075115653791538
ET,BRC1,0.31777363356037863,0.03190572773897333,0.3776917761156834,0.031410913715260586
ET,RRC2,0.08876572366289795,0.01981276650035651,0.12956292251483034,0.013727991944719993
ET,BRC2,0.006084261024804308,0.006804666521463288,0.01259369513173326,0.0016531394474310834
ET,RFF,0.4366948989858474,0.04188099261591919,0.5005484649647836,0.038283304619923415
M_CH3OH,P1,0.005186551319378093,0.007499900706289672,0.013250724033931292,0.0017174890892649034
M_CH3OH,T1,0.19925419983708104,0.030243112643158616,0.23543181907576752,0.019635947737363574
M_CH3OH,T2,-0.0011207662129853794,0.002748885667974713,0.0026064996590960854,0.00034424490312958523
M_CH3OH,RRC1,0.15832052993875576,0.03150344669914403,0.2393117268648935,0.018639401373243852
M_CH3OH,BRC1,0.21356852737673804,0.0306739589263181,0.2635101344280263,0.02267383661117469
M_CH3OH,RRC2,0.046943612017549895,0.015253583517571128,0.06668800884916903,0.006522368731655286
M_CH3OH,BRC2,0.06023537598771966,0.016464256752219433,0.08030461975526425,0.007632500598154048
M_CH3OH,RFF,0.19826338743041028,0.027666045101876324,0.23760086961852933,0.018222855939570605
x_CH3OH,P1,0.0019436872444553452,0.005044114390501596,0.009083625006238693,0.001643567458076162
x_CH3OH,T1,0.0031485392441649284,0.008791267790920824,0.027846892545243453,0.003991444222434101
x_CH3OH,T2,-0.008100839615469185,0.005314452772463118,0.009237855437212136,0.0017004908544453823
x_CH3OH,RRC1,0.5221424498582669,0.05697290119493684,0.749614714725224,0.05751048858869896
x_CH3OH,BRC1,0.1205046036515242,0.03506417107984552,0.32472580862566974,0.040016661375017255
x_CH3OH,RRC2,0.03648117281580414,0.019570067330678717,0.10143862911648097,0.011497409034626094
x_CH3OH,BRC2,0.024954828825080794,0.015838035086924492,0.08906777276955609,0.011708265571691618
x_CH3OH,RFF,-0.0025279722072297298,0.006796567498017667,0.01459202035134356,0.0017936390712948854
