T1,RRC1,BRC1,RRC2,BRC2,RFF,ET,M_CH3OH,x_CH3OH
270.09316392209087,2.0960940720485084,0.5731236009700605,2.0478281047774165,1.464042488180528,0.24711905649141053,6679.488945745131,4567.628339245303,0.9944058231853781
260.39057240323496,1.6336188588900264,0.5560928445947727,2.8522808911538347,0.7934293008663698,0.18665997869178497,9406.385965379266,5140.512791461107,1.0
264.5217849398291,3.4422906616181197,0.804363282205619,1.192583144856254,9.684841693023868,0.23573644013873574,10110.627128308319,5621.438623240672,1.0
277.06865883077637,3.4463728286567674,1.12004157739501,1.1876339889747856,9.41838868141345,0.23779025054236924,10772.707373197454,5645.387497455893,0.994260192352551
265.9038726214002,3.6891464149570843,1.3267454092092943,1.0641451156857966,9.49426532473598,0.21112679784859847,11172.882930462796,6236.276635285153,0.995060892098508
264.77531215497186,3.352635661734838,0.641782424710055,1.3339674732811166,2.3378602776412096,0.0791346500588772,12266.344680120006,6704.009720397009,1.0
259.023272329643,2.588025649458668,0.8231076247421587,1.389103020559196,2.482431185352447,0.11004060383896865,12855.832854757764,7364.871641182607,0.9956569854330521
257.5313830375393,2.567337700688795,0.6778823216596364,1.4093027946408903,2.8141731318403114,0.0761518621687155,12948.030467762299,7900.569733077182,0.9938895329932241
268.57450398051026,1.407951295473705,0.5269771563459026,1.3498135105073712,1.4356583870306798,0.09358817658389176,14548.978065609921,8613.509961510808,0.9925683341873522
259.5722276790441,2.0160300831451785,0.7311033238694323,2.0045582989075035,2.6399273752454566,0.04731073208055619,16770.277448624438,9031.661721923001,1.0
253.49533873886492,2.3816019385582505,1.1225925404287171,1.7432962069851343,3.171403653552594,0.048725088765328724,17906.760159275764,9180.409926248456,0.9910630102747588
266.8189751635812,2.9884571476132895,1.2676853968148332,1.253471966364918,3.223829331833106,0.03294031723972346,18384.180001487075,9386.782961693547,1.0
257.8641743987419,2.956253973475795,2.7520923999120797,1.4714376673749563,2.4356708003062977,0.08562658617480944,21460.05324348929,9576.770447768147,0.9919652086268012
270.6201423529287,3.163642624875033,1.6042934220235021,2.0959968245377585,3.2163413777706116,0.01125028142314479,27133.104019124417,9667.159507681825,1.0
255.21124828795286,4.274729511620677,3.387389096095178,1.3584199587891517,3.178063923449248,0.05562983438521738,27172.083269250732,9909.28134009356,0.9962188591658826
286.8690332471681,1.7910585258697818,1.9079472753784934,1.7371623865063777,2.0884345158042352,0.012752568562892868,27741.204313602044,10995.938663716433,0.9984120613720315
280.36675217617176,4.161211829784769,3.993549548281832,2.5199739973242092,5.230546204035962,0.021893123782543947,43504.21947934774,11395.552523451424,0.999127007167399
274.4490239642271,4.855878962922214,4.861038036195932,2.11159005826738,3.907970830030902,0.016676709844674585,46103.89517337503,11631.1194903796,0.9921399250256633
265.9878234664524,4.375510094558788,4.416322283516102,2.7822043368294604,4.243769897853348,0.010777071920189093,47236.611604006,11843.181757660319,0.9991624445161589
263.8223024336073,5.634215209439004,5.25374996966224,2.7076658450756557,8.290723444301824,0.010784793175597997,47510.18536683756,12255.991256816855,0.991191658426564
242.7545222647124,8.48212949778216,9.4276059865189,2.1786964706567895,5.96731717208228,0.015583003500449007,66583.97922204755,12284.237375112343,0.9952973593855363
255.86806736036718,7.74113457484661,8.94260521635625,3.330852356702839,6.943798560065154,0.01840819907433186,67876.96233496556,12523.471942630242,0.9928231447163831
274.10326853581296,5.984436792297296,8.66598971615384,7.20175585826185,7.607090960378385,0.01052405835718235,84443.8170300773,12550.324647430563,0.9947564163895394
